video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=T9Nx3RQkAB0&pp=ygUdd2FzaGluZ3RvbiBpbmRpZ2Vub3VzIHBvdmVydHk%3D,/@PeterSantenello,Peter Santenello,Poorest Native American Reservation - What It Really Looks Like 🇺🇸,"5,5 mln. weergaven",1 jaar geleden,I was warned by many Natives not to go to the Pine Ridge Reservation because of crime and poverty. But what was it like when I ...,2024-01-28 00:45:51.206824
/watch?v=SM8WZ0ztMuc&pp=ygUdd2FzaGluZ3RvbiBpbmRpZ2Vub3VzIHBvdmVydHk%3D,/@BBCNews,BBC News,'America is a stolen country',"2,2 mln. weergaven",9 jaar geleden,"Subscribe to BBC News www.youtube.com/bbcnews Alcoholism, unemployment and suicide are problems associated with Native ...",2024-01-28 00:45:51.215674
/watch?v=RYU6epXyxhg&pp=ygUdd2FzaGluZ3RvbiBpbmRpZ2Vub3VzIHBvdmVydHk%3D,/@LXNews,LX News,Inside an Indian Reservation Reeling From Poverty and the Pandemic | LX NEWS,210K weergaven,2 jaar geleden,The Pine Ridge Indian Reservation in South Dakota is home to the Oglala Lakota nation — people whose ancestors survived ...,2024-01-28 00:45:51.217692
/watch?v=y1zlaD44gp0&pp=ygUdd2FzaGluZ3RvbiBpbmRpZ2Vub3VzIHBvdmVydHk%3D,/@NickJohnson,Nick Johnson,The Poverty In Mississippi Is Unlike Anything You've Ever Seen,2 mln. weergaven,8 maanden geleden,This doesn't look like the United States at all. They say Mississippi is last in all the good categories and first in all the bad ...,2024-01-28 00:45:51.231193
/watch?v=4lJUCMKYUUw&pp=ygUdd2FzaGluZ3RvbiBpbmRpZ2Vub3VzIHBvdmVydHk%3D,/@ENDEVRDocs,ENDEVR,Australia's Dark Secret: The Inhumane Treatment of Indigenous Peoples | ENDEVR Documentary,"3,2 mln. weergaven",1 jaar geleden,Utopia: The Inhumane Treatment of Indigenous Peoples | Australia's Dark Secret | ENDEVR Documentary Utopia is a rare and ...,2024-01-28 00:45:51.234876
/watch?v=PN9aYGPKevM&pp=ygUdd2FzaGluZ3RvbiBpbmRpZ2Vub3VzIHBvdmVydHk%3D,/@ABCNewsIndepth,ABC News In-depth,Regional Australians who are struggling with the increased cost of living | 7.30,32K weergaven,7 maanden geleden,"The cost of living is putting pressure on people all over Australia, but those in the most remote parts of the country face unique ...",2024-01-28 00:45:51.238831
/watch?v=eqceHviNBC4&pp=ygUdd2FzaGluZ3RvbiBpbmRpZ2Vub3VzIHBvdmVydHk%3D,/@theGuardian,The Guardian,Why the poorest county in West Virginia has faith in Donald Trump | Anywhere but Washington,"7,6 mln. weergaven",7 jaar geleden,The Guardian YouTube network: Guardian News ▻ http://is.gd/guardianwires Guardian Football ▻ http://is.gd/guardianfootball ...,2024-01-28 00:45:51.240681
/watch?v=p3O6bKdPLbw&pp=ygUdd2FzaGluZ3RvbiBpbmRpZ2Vub3VzIHBvdmVydHk%3D,/@PeterSantenello,Peter Santenello,Poorest Region of America - What It Really Looks Like 🇺🇸,22 mln. weergaven,6 maanden geleden,Southern West Virginia to Eastern Kentucky is the largest region of economically distressed counties in the country. In many ways ...,2024-01-28 00:45:51.242530
/watch?v=DrvvMeW0HPA&pp=ygUdd2FzaGluZ3RvbiBpbmRpZ2Vub3VzIHBvdmVydHk%3D,/@UnitedStatesInstituteofPeace,United States Institute of Peace,"The Afro-Indigenous Peoples of Honduras: Exclusion, Conflict, and Migration",507 weergaven,Gestreamd: 3 dagen geleden,"Since first arriving to Central America in 1797, the Afro-Indigenous Garifuna communities have played an important role in the ...",2024-01-28 00:45:51.260775
/watch?v=dq0Joi1ELps&pp=ygUdd2FzaGluZ3RvbiBpbmRpZ2Vub3VzIHBvdmVydHk%3D,/@aljazeeraenglish,Al Jazeera English,Poverty USA - Native Americans - 16 Nov 07,207K weergaven,16 jaar geleden,Native Americans in the US state of Dakota are being driven to alcohol abuse and suicide. In the second installment on a series of ...,2024-01-28 00:45:51.263320
/watch?v=JCqL9qcwVMU&pp=ygUdd2FzaGluZ3RvbiBpbmRpZ2Vub3VzIHBvdmVydHk%3D,/@ABCNews,ABC News,Low life expectancy on Pine Ridge Reservation | Hidden America: Children of the Plains PART 5/5,201K weergaven,5 jaar geleden,"Children of the Plains Part 5: Produce is scarce on reservation, but Subway offers healthy options. [Original Air Date 10/14/2011] ...",2024-01-28 00:45:51.265251
/watch?v=Yn6MF68Db8w&pp=ygUdd2FzaGluZ3RvbiBpbmRpZ2Vub3VzIHBvdmVydHk%3D,/@darrengal7938,Darren Gal,Severe Poverty in Remote Indigenous Communities,"7,1K weergaven",6 jaar geleden,This story is about severe poverty in the remote Aboriginal community of Utopia. This story went to air on the 5th of July 2017 ABC ...,2024-01-28 00:45:51.268597
